"value_numeric","value_nominal","customerid","companyname","country","balance","orderid","orderdate","requireddate","pyear","shippeddate","shipvia","freight","shipname","shipaddress","shipcity","shipregion","shippostalcode","shipcountry","unitprice","quantity","discount","productname","supplierid","categoryid","quantityperunit","p_unitprice","unitsinstock","unitsonorder","reorderlevel","discontinued"
"45.9","L","CHOPS","Chop-suey Chinese","Switzerland","$1,000.00",10254,"1996-07-11 00:00:00","1996-08-08","1996","1996-07-23",2,"$22.98","Chop-suey Chinese","Hauptstr. 31","Bern",NULL,"3012","Switzerland","$3.60",15,"0.15","Guaraná Fantástica",10,1,"12 - 355 ml cans","$4.50",20,0,0,1
"342.72","M","CHOPS","Chop-suey Chinese","Switzerland","$1,000.00",10254,"1996-07-11 00:00:00","1996-08-08","1996","1996-07-23",2,"$22.98","Chop-suey Chinese","Hauptstr. 31","Bern",NULL,"3012","Switzerland","$19.20",21,"0.15","Pâté chinois",25,6,"24 boxes x 2 pies","$24.00",115,0,20,0
"168","L","CHOPS","Chop-suey Chinese","Switzerland","$1,000.00",10254,"1996-07-11 00:00:00","1996-08-08","1996","1996-07-23",2,"$22.98","Chop-suey Chinese","Hauptstr. 31","Bern",NULL,"3012","Switzerland","$8.00",21,"0","Longlife Tofu",4,7,"5 kg pkg.","$10.00",4,20,5,0
"304","M","RICSU","Richter Supermarkt","Switzerland","$1,000.00",10255,"1996-07-12 00:00:00","1996-08-09","1996","1996-07-15",3,"$148.33","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","$15.20",20,"0","Chang",1,1,"24 - 12 oz bottles","$19.00",17,40,25,0
"486.5","M","RICSU","Richter Supermarkt","Switzerland","$1,000.00",10255,"1996-07-12 00:00:00","1996-08-09","1996","1996-07-15",3,"$148.33","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","$13.90",35,"0","Pavlova",7,3,"32 - 500 g boxes","$17.45",29,0,10,0
"380","M","RICSU","Richter Supermarkt","Switzerland","$1,000.00",10255,"1996-07-12 00:00:00","1996-08-09","1996","1996-07-15",3,"$148.33","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","$15.20",25,"0","Inlagd Sill",17,8,"24 - 250 g  jars","$19.00",112,0,20,0
"1320","H","RICSU","Richter Supermarkt","Switzerland","$1,000.00",10255,"1996-07-12 00:00:00","1996-08-09","1996","1996-07-15",3,"$148.33","Richter Supermarkt","Starenweg 5","Genève",NULL,"1204","Switzerland","$44.00",30,"0","Raclette Courdavault",28,4,"5 kg pkg.","$55.00",79,0,0,0
"393","M","WELLI","Wellington Importadora","Brazil","$1,000.00",10256,"1996-07-15 00:00:00","1996-08-12","1996","1996-07-17",2,"$13.97","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","$26.20",15,"0","Perth Pasties",24,6,"48 pieces","$32.80",0,0,0,1
"124.8","L","WELLI","Wellington Importadora","Brazil","$1,000.00",10256,"1996-07-15 00:00:00","1996-08-12","1996","1996-07-17",2,"$13.97","Wellington Importadora","Rua do Mercado, 12","Resende","SP","08737-363","Brazil","$10.40",12,"0","Original Frankfurter grüne Soße",12,2,"12 boxes","$13.00",32,0,15,0
"877.5","M","HILAA","HILARION-Abastos","Venezuela","$1,000.00",10257,"1996-07-16 00:00:00","1996-08-13","1996","1996-07-22",3,"$81.91","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","$35.10",25,"0","Schoggi Schokolade",11,3,"100 - 100 g pieces","$43.90",49,0,30,0
"86.4","L","HILAA","HILARION-Abastos","Venezuela","$1,000.00",10257,"1996-07-16 00:00:00","1996-08-13","1996","1996-07-22",3,"$81.91","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","$14.40",6,"0","Chartreuse verte",18,1,"750 cc per bottle","$23.81",69,0,5,0
"156","L","HILAA","HILARION-Abastos","Venezuela","$1,000.00",10257,"1996-07-16 00:00:00","1996-08-13","1996","1996-07-22",3,"$81.91","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","San Cristóbal","Táchira","5022","Venezuela","$10.40",15,"0","Original Frankfurter grüne Soße",12,2,"12 boxes","$13.00",32,0,15,0
"608","M","ERNSH","Ernst Handel","Austria","$1,000.00",10258,"1996-07-17 00:00:00","1996-08-14","1996","1996-07-23",1,"$140.51","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$15.20",50,"0.2","Chang",1,1,"24 - 12 oz bottles","$19.00",17,40,25,0
"884","M","ERNSH","Ernst Handel","Austria","$1,000.00",10258,"1996-07-17 00:00:00","1996-08-14","1996","1996-07-23",1,"$140.51","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$17.00",65,"0.2","Chef Anton's Gumbo Mix",2,2,"36 boxes","$21.35",0,0,0,1
"122.88","L","ERNSH","Ernst Handel","Austria","$1,000.00",10258,"1996-07-17 00:00:00","1996-08-14","1996","1996-07-23",1,"$140.51","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$25.60",6,"0.2","Mascarpone Fabioli",14,4,"24 - 200 g pkgs.","$32.00",9,40,25,0
"80","L","CENTC","Centro comercial Moctezuma","Mexico","$1,000.00",10259,"1996-07-18 00:00:00","1996-08-15","1996","1996-07-25",3,"$3.25","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.",NULL,"05022","Mexico","$8.00",10,"0","Sir Rodney's Scones",8,3,"24 pkgs. x 4 pieces","$10.00",3,40,5,0
"20.8","L","CENTC","Centro comercial Moctezuma","Mexico","$1,000.00",10259,"1996-07-18 00:00:00","1996-08-15","1996","1996-07-25",3,"$3.25","Centro comercial Moctezuma","Sierras de Granada 9993","México D.F.",NULL,"05022","Mexico","$20.80",1,"0","Gravad lax",17,8,"12 - 500 g pkgs.","$26.00",11,50,25,0
"92.4","L","OTTIK","Ottilies Käseladen","Germany","$1,000.00",10260,"1996-07-19 00:00:00","1996-08-16","1996","1996-07-29",1,"$55.09","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","$7.70",16,"0.25","Jack's New England Clam Chowder",19,8,"12 - 12 oz cans","$9.65",85,0,10,0
"780","M","OTTIK","Ottilies Käseladen","Germany","$1,000.00",10260,"1996-07-19 00:00:00","1996-08-16","1996","1996-07-29",1,"$55.09","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","$15.60",50,"0","Ravioli Angelo",26,5,"24 - 250 g pkgs.","$19.50",36,0,20,0
"443.25","M","OTTIK","Ottilies Käseladen","Germany","$1,000.00",10260,"1996-07-19 00:00:00","1996-08-16","1996","1996-07-29",1,"$55.09","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","$39.40",15,"0.25","Tarte au sucre",29,3,"48 pies","$49.30",17,0,0,0
"189","L","OTTIK","Ottilies Käseladen","Germany","$1,000.00",10260,"1996-07-19 00:00:00","1996-08-16","1996","1996-07-29",1,"$55.09","Ottilies Käseladen","Mehrheimerstr. 369","Köln",NULL,"50739","Germany","$12.00",21,"0.25","Outback Lager",7,1,"24 - 355 ml bottles","$15.00",15,10,30,0
"160","L","QUEDE","Que Delícia","Brazil","$1,000.00",10261,"1996-07-19 00:00:00","1996-08-16","1996","1996-07-30",2,"$3.05","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","$8.00",20,"0","Sir Rodney's Scones",8,3,"24 pkgs. x 4 pieces","$10.00",3,40,5,0
"288","M","QUEDE","Que Delícia","Brazil","$1,000.00",10261,"1996-07-19 00:00:00","1996-08-16","1996","1996-07-30",2,"$3.05","Que Delícia","Rua da Panificadora, 12","Rio de Janeiro","RJ","02389-673","Brazil","$14.40",20,"0","Steeleye Stout",16,1,"24 - 12 oz bottles","$18.00",20,0,15,0
"163.2","L","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10262,"1996-07-22 00:00:00","1996-08-19","1996","1996-07-25",3,"$48.29","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$17.00",12,"0.2","Chef Anton's Gumbo Mix",2,2,"36 boxes","$21.35",0,0,0,1
"360","M","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10262,"1996-07-22 00:00:00","1996-08-19","1996","1996-07-25",3,"$48.29","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$24.00",15,"0","Uncle Bob's Organic Dried Pears",3,7,"12 - 1 lb pkgs.","$30.00",15,0,10,0
"60.8","L","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10262,"1996-07-22 00:00:00","1996-08-19","1996","1996-07-25",3,"$48.29","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$30.40",2,"0","Gnocchi di nonna Alice",26,5,"24 - 250 g pkgs.","$38.00",21,10,30,0
"625.5","M","ERNSH","Ernst Handel","Austria","$1,000.00",10263,"1996-07-23 00:00:00","1996-08-20","1996","1996-07-31",3,"$146.06","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$13.90",60,"0.25","Pavlova",7,3,"32 - 500 g boxes","$17.45",29,0,10,0
"100.8","L","ERNSH","Ernst Handel","Austria","$1,000.00",10263,"1996-07-23 00:00:00","1996-08-20","1996","1996-07-31",3,"$146.06","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$3.60",28,"0","Guaraná Fantástica",10,1,"12 - 355 ml cans","$4.50",20,0,0,1
"931.5","M","ERNSH","Ernst Handel","Austria","$1,000.00",10263,"1996-07-23 00:00:00","1996-08-20","1996","1996-07-31",3,"$146.06","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$20.70",60,"0.25","Nord-Ost Matjeshering",13,8,"10 - 200 g glasses","$25.89",10,0,15,0
"216","M","ERNSH","Ernst Handel","Austria","$1,000.00",10263,"1996-07-23 00:00:00","1996-08-20","1996","1996-07-31",3,"$146.06","Ernst Handel","Kirchgasse 6","Graz",NULL,"8010","Austria","$8.00",36,"0.25","Longlife Tofu",4,7,"5 kg pkg.","$10.00",4,20,5,0
"532","M","FOLKO","Folk och fä HB","Sweden","$1,000.00",10264,"1996-07-24 00:00:00","1996-08-21","1996","1996-08-23",3,"$3.67","Folk och fä HB","Åkergatan 24","Bräcke",NULL,"S-844 67","Sweden","$15.20",35,"0","Chang",1,1,"24 - 12 oz bottles","$19.00",17,40,25,0
"163.62","L","FOLKO","Folk och fä HB","Sweden","$1,000.00",10264,"1996-07-24 00:00:00","1996-08-21","1996","1996-08-23",3,"$3.67","Folk och fä HB","Åkergatan 24","Bräcke",NULL,"S-844 67","Sweden","$7.70",25,"0.15","Jack's New England Clam Chowder",19,8,"12 - 12 oz cans","$9.65",85,0,10,0
"936","M","BLONP","Blondesddsl père et fils","France","$1,000.00",10265,"1996-07-25 00:00:00","1996-08-22","1996","1996-08-12",1,"$55.28","Blondel père et fils","24, place Kléber","Strasbourg",NULL,"67000","France","$31.20",30,"0","Alice Mutton",7,6,"20 - 1 kg tins","$39.00",0,0,0,1
"240","M","BLONP","Blondesddsl père et fils","France","$1,000.00",10265,"1996-07-25 00:00:00","1996-08-22","1996","1996-08-12",1,"$55.28","Blondel père et fils","24, place Kléber","Strasbourg",NULL,"67000","France","$12.00",20,"0","Outback Lager",7,1,"24 - 355 ml bottles","$15.00",15,10,30,0
"346.56","M","WARTH","Wartian Herkku","Finland","$1,000.00",10266,"1996-07-26 00:00:00","1996-09-06","1996","1996-07-31",3,"$25.73","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","$30.40",12,"0.05","Queso Manchego La Pastora",5,4,"10 - 500 g pkgs.","$38.00",86,0,0,0
"735","M","FRANK","Frankenversand","Germany","$1,000.00",10267,"1996-07-29 00:00:00","1996-08-26","1996","1996-08-06",1,"$208.58","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","$14.70",50,"0","Boston Crab Meat",19,8,"24 - 4 oz tins","$18.40",900,0,30,0
"2618","H","FRANK","Frankenversand","Germany","$1,000.00",10267,"1996-07-29 00:00:00","1996-08-26","1996","1996-08-06",1,"$208.58","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","$44.00",70,"0.15","Raclette Courdavault",28,4,"5 kg pkg.","$55.00",79,0,0,0
"183.6","L","FRANK","Frankenversand","Germany","$1,000.00",10267,"1996-07-29 00:00:00","1996-08-26","1996","1996-08-06",1,"$208.58","Frankenversand","Berliner Platz 43","München",NULL,"80805","Germany","$14.40",15,"0.15","Lakkalikööri",23,1,"500 ml","$18.00",57,0,20,0
"990","M","GROSR","GROSELLA-Restaurante","Venezuela","$1,000.00",10268,"1996-07-30 00:00:00","1996-08-27","1996","1996-08-02",3,"$66.29","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela","$99.00",10,"0","Thüringer Rostbratwurst",12,6,"50 bags x 30 sausgs.","$123.79",0,0,0,1
"111.2","L","GROSR","GROSELLA-Restaurante","Venezuela","$1,000.00",10268,"1996-07-30 00:00:00","1996-08-27","1996","1996-08-02",3,"$66.29","GROSELLA-Restaurante","5ª Ave. Los Palos Grandes","Caracas","DF","1081","Venezuela","$27.80",4,"0","Mozzarella di Giovanni",14,4,"24 - 200 g pkgs.","$34.80",9,0,0,0
"114","L","WHITC","White Clover Markets","USA","$1,000.00",10269,"1996-07-31 00:00:00","1996-08-14","1996","1996-08-09",1,"$4.56","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA","$2.00",60,"0.05","Geitost",15,4,"500 g","$2.50",112,0,20,0
"528.2","M","WHITC","White Clover Markets","USA","$1,000.00",10269,"1996-07-31 00:00:00","1996-08-14","1996","1996-08-09",1,"$4.56","White Clover Markets","1029 - 12th Ave. S.","Seattle","WA","98124","USA","$27.80",20,"0.05","Mozzarella di Giovanni",14,4,"24 - 200 g pkgs.","$34.80",9,0,0,0
"456","M","WARTH","Wartian Herkku","Finland","$1,000.00",10270,"1996-08-01 00:00:00","1996-08-29","1996","1996-08-02",1,"$136.54","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","$15.20",30,"0","Inlagd Sill",17,8,"24 - 250 g  jars","$19.00",112,0,20,0
"920","M","WARTH","Wartian Herkku","Finland","$1,000.00",10270,"1996-08-01 00:00:00","1996-08-29","1996","1996-08-02",1,"$136.54","Wartian Herkku","Torikatu 38","Oulu",NULL,"90110","Finland","$36.80",25,"0","Ipoh Coffee",20,1,"16 - 500 g tins","$46.00",17,10,25,0
"48","L","SPLIR","Split Rail Beer & Ale","USA","$1,000.00",10271,"1996-08-01 00:00:00","1996-08-29","1996","1996-08-30",2,"$4.54","Split Rail Beer & Ale","P.O. Box 555","Lander","WY","82520","USA","$2.00",24,"0","Geitost",15,4,"500 g","$2.50",112,0,20,0
"388.8","M","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10272,"1996-08-02 00:00:00","1996-08-30","1996","1996-08-06",2,"$98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$64.80",6,"0","Sir Rodney's Marmalade",8,3,"30 gift boxes","$81.00",40,0,0,0
"400","M","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10272,"1996-08-02 00:00:00","1996-08-30","1996","1996-08-06",2,"$98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$10.00",40,"0","Gorgonzola Telino",14,4,"12 - 100 g pkgs","$12.50",0,70,20,0
"667.2","M","RATTC","Rattlesnake Canyon Grocery","USA","$1,000.00",10272,"1996-08-02 00:00:00","1996-08-30","1996","1996-08-06",2,"$98.03","Rattlesnake Canyon Grocery","2817 Milton Dr.","Albuquerque","NM","87110","USA","$27.80",24,"0","Mozzarella di Giovanni",14,4,"24 - 200 g pkgs.","$34.80",9,0,0,0
"565.44","M","QUICK","QUICK-Stop","Germany","$1,000.00",10273,"1996-08-05 00:00:00","1996-09-02","1996","1996-08-12",3,"$76.07","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$24.80",24,"0.05","Ikura",4,8,"12 - 200 ml jars","$31.00",23,0,0,0
"142.5","L","QUICK","QUICK-Stop","Germany","$1,000.00",10273,"1996-08-05 00:00:00","1996-09-02","1996","1996-08-12",3,"$76.07","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$10.00",15,"0.05","Gorgonzola Telino",14,4,"12 - 100 g pkgs","$12.50",0,70,20,0
"40","L","QUICK","QUICK-Stop","Germany","$1,000.00",10273,"1996-08-05 00:00:00","1996-09-02","1996","1996-08-12",3,"$76.07","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$2.00",20,"0","Geitost",15,4,"500 g","$2.50",112,0,20,0
"837.9","M","QUICK","QUICK-Stop","Germany","$1,000.00",10273,"1996-08-05 00:00:00","1996-09-02","1996","1996-08-12",3,"$76.07","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$14.70",60,"0.05","Boston Crab Meat",19,8,"24 - 4 oz tins","$18.40",900,0,30,0
"451.44","M","QUICK","QUICK-Stop","Germany","$1,000.00",10273,"1996-08-05 00:00:00","1996-09-02","1996","1996-08-12",3,"$76.07","QUICK-Stop","Taucherstraße 10","Cunewalde",NULL,"01307","Germany","$14.40",33,"0.05","Lakkalikööri",23,1,"500 ml","$18.00",57,0,20,0
"344","M","VINET","Vins et alcools Chevalier","France","$1,000.00",10274,"1996-08-06 00:00:00","1996-09-03","1996","1996-08-16",1,"$6.01","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","$17.20",20,"0","Flotemysost",15,4,"10 - 500 g pkgs.","$21.50",26,0,0,0
"194.6","L","VINET","Vins et alcools Chevalier","France","$1,000.00",10274,"1996-08-06 00:00:00","1996-09-03","1996","1996-08-16",1,"$6.01","Vins et alcools Chevalier","59 rue de l'Abbaye","Reims",NULL,"51100","France","$27.80",7,"0","Mozzarella di Giovanni",14,4,"24 - 200 g pkgs.","$34.80",9,0,0,0
"41.04","L","MAGAA","Magazzini Alimentari Riuniti","Italy","$1,000.00",10275,"1996-08-07 00:00:00","1996-09-04","1996","1996-08-09",1,"$26.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","$3.60",12,"0.05","Guaraná Fantástica",10,1,"12 - 355 ml cans","$4.50",20,0,0,1
"250.8","M","MAGAA","Magazzini Alimentari Riuniti","Italy","$1,000.00",10275,"1996-08-07 00:00:00","1996-09-04","1996","1996-08-09",1,"$26.93","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Bergamo",NULL,"24100","Italy","$44.00",6,"0.05","Raclette Courdavault",28,4,"5 kg pkg.","$55.00",79,0,0,0
"372","M","TORTU","Tortuga Restaurante","Mexico","$1,000.00",10276,"1996-08-08 00:00:00","1996-08-22","1996","1996-08-14",3,"$13.84","Tortuga Restaurante","Avda. Azteca 123","México D.F.",NULL,"05033","Mexico","$24.80",15,"0","Ikura",4,8,"12 - 200 ml jars","$31.00",23,0,0,0
"48","L","TORTU","Tortuga Restaurante","Mexico","$1,000.00",10276,"1996-08-08 00:00:00","1996-08-22","1996","1996-08-14",3,"$13.84","Tortuga Restaurante","Avda. Azteca 123","México D.F.",NULL,"05033","Mexico","$4.80",10,"0","Konbu",6,8,"2 kg box","$6.00",24,0,5,0
"728","M","MORGK","Morgenstern Gesundkost","Germany","$1,000.00",10277,"1996-08-09 00:00:00","1996-09-06","1996","1996-08-13",3,"$125.77","Morgenstern Gesundkost","Heerstr. 22","Leipzig",NULL,"04179","Germany","$36.40",20,"0","Rössle Sauerkraut",12,7,"25 - 825 g cans","$45.60",26,0,0,1
"472.8","M","MORGK","Morgenstern Gesundkost","Germany","$1,000.00",10277,"1996-08-09 00:00:00","1996-09-06","1996","1996-08-13",3,"$125.77","Morgenstern Gesundkost","Heerstr. 22","Leipzig",NULL,"04179","Germany","$39.40",12,"0","Tarte au sucre",29,3,"48 pies","$49.30",17,0,0,0
"248","M","BERGS","Berglunds snabbköp","Sweden","$1,000.00",10278,"1996-08-12 00:00:00","1996-09-09","1996","1996-08-16",2,"$92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","$15.50",16,"0","Gula Malacca",20,2,"20 - 2 kg bags","$19.45",27,0,15,0
"660","M","BERGS","Berglunds snabbköp","Sweden","$1,000.00",10278,"1996-08-12 00:00:00","1996-09-09","1996","1996-08-16",2,"$92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","$44.00",15,"0","Raclette Courdavault",28,4,"5 kg pkg.","$55.00",79,0,0,0
"280.8","M","BERGS","Berglunds snabbköp","Sweden","$1,000.00",10278,"1996-08-12 00:00:00","1996-09-09","1996","1996-08-16",2,"$92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","$35.10",8,"0","Vegie-spread",7,2,"15 - 625 g jars","$43.90",24,0,5,0
"300","M","BERGS","Berglunds snabbköp","Sweden","$1,000.00",10278,"1996-08-12 00:00:00","1996-09-09","1996","1996-08-16",2,"$92.69","Berglunds snabbköp","Berguvsvägen  8","Luleå",NULL,"S-958 22","Sweden","$12.00",25,"0","Röd Kaviar",17,8,"24 - 150 g jars","$15.00",101,0,5,0
"351","M","LEHMS","Lehmanns Marktstand","Germany","$1,000.00",10279,"1996-08-13 00:00:00","1996-09-10","1996","1996-08-16",2,"$25.83","Lehmanns Marktstand","Magazinweg 7","Frankfurt a.M.",NULL,"60528","Germany","$31.20",15,"0.25","Alice Mutton",7,6,"20 - 1 kg tins","$39.00",0,0,0,1
